,Name,Access Type,Member Count,USER_NAME_ID,Created Date,USER_NAME_ID_commenter,Created Date.1
99,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,77849,3/26/2019
100,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/26/2019
101,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,80911,3/26/2019
102,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,77849,3/26/2019
103,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,39092,3/26/2019
104,Enterprise Data Services & Operations,Public,554,85903,3/25/2019,80911,3/26/2019
105,Enterprise Data Services & Operations,Public,554,20583,3/25/2019,63724,3/25/2019
106,Enterprise Data Services & Operations,Public,554,20583,3/25/2019,63724,3/25/2019
107,Enterprise Data Services & Operations,Public,554,39092,3/21/2019,39092,3/22/2019
108,Enterprise Data Services & Operations,Public,554,39092,3/21/2019,39092,3/22/2019
109,Enterprise Data Services & Operations,Public,554,49680,3/21/2019,49680,3/21/2019
110,Enterprise Data Services & Operations,Public,554,49680,3/21/2019,39092,3/21/2019
111,Enterprise Data Services & Operations,Public,554,49680,3/21/2019,39092,3/21/2019
112,Enterprise Data Services & Operations,Public,554,41892,3/21/2019,41892,3/21/2019
113,Enterprise Data Services & Operations,Public,554,95712,3/21/2019,90681,3/21/2019
114,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/20/2019
115,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,80371,3/20/2019
116,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,90656,3/20/2019
117,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,77849,3/20/2019
118,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,90656,3/20/2019
119,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,69381,3/20/2019
120,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,80371,3/20/2019
121,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,77849,3/20/2019
122,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/20/2019
123,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,3906,3/20/2019
124,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,69381,3/20/2019
125,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,25488,3/20/2019
126,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/20/2019
127,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/20/2019
128,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,3906,3/21/2019
129,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,72835,3/21/2019
130,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,69381,3/21/2019
131,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,72835,3/21/2019
132,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/21/2019
133,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,9288,3/21/2019
134,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/21/2019
135,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,3906,3/21/2019
136,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,69381,3/22/2019
137,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,36086,3/22/2019
138,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,80371,3/22/2019
139,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/22/2019
140,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/22/2019
141,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,36086,3/22/2019
142,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,55257,3/22/2019
143,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/22/2019
144,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,45663,3/22/2019
145,Enterprise Data Services & Operations,Public,554,77849,3/20/2019,69381,3/25/2019
146,Enterprise Data Services & Operations,Public,554,95712,3/20/2019,90681,3/20/2019
147,Enterprise Data Services & Operations,Public,554,20375,3/19/2019,75822,3/19/2019
148,Enterprise Data Services & Operations,Public,554,20375,3/19/2019,39092,3/19/2019
149,Enterprise Data Services & Operations,Public,554,20375,3/19/2019,46445,3/19/2019
150,Enterprise Data Services & Operations,Public,554,20375,3/19/2019,39092,3/20/2019
151,Enterprise Data Services & Operations,Public,554,20583,3/19/2019,42735,3/19/2019
152,Enterprise Data Services & Operations,Public,554,20583,3/19/2019,42735,3/19/2019
153,Enterprise Data Services & Operations,Public,554,41892,3/19/2019,41892,3/19/2019
154,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,90656,3/18/2019
155,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,57625,3/18/2019
156,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,25601,3/18/2019
157,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,25601,3/18/2019
158,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,90656,3/18/2019
159,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,57625,3/18/2019
160,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,80911,3/18/2019
161,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,57625,3/18/2019
162,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,80911,3/18/2019
163,Enterprise Data Services & Operations,Public,554,77849,3/18/2019,57625,3/19/2019
164,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,67159,3/15/2019
165,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,81518,3/15/2019
166,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,57625,3/15/2019
167,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,11583,3/15/2019
168,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,57625,3/18/2019
169,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,67159,3/18/2019
170,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,38969,3/18/2019
171,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,94239,3/18/2019
172,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,38969,3/19/2019
173,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,2348,3/19/2019
174,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,80371,3/19/2019
175,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,69381,3/20/2019
176,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,69381,3/20/2019
177,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,45663,3/20/2019
178,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,69381,3/20/2019
179,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,25488,3/20/2019
180,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,25488,3/20/2019
181,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,71992,3/20/2019
182,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,80371,3/20/2019
183,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,38969,3/20/2019
184,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,90656,3/20/2019
185,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,38969,3/20/2019
186,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,45663,3/20/2019
187,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,38969,3/20/2019
188,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,45663,3/20/2019
189,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,3906,3/20/2019
190,Enterprise Data Services & Operations,Public,554,67159,3/15/2019,77849,3/20/2019
191,Enterprise Data Services & Operations,Public,554,63724,3/14/2019,78226,3/16/2019
192,Enterprise Data Services & Operations,Public,554,63724,3/14/2019,63724,3/16/2019
193,Enterprise Data Services & Operations,Public,554,41892,3/14/2019,41892,3/14/2019
194,Enterprise Data Services & Operations,Public,554,25488,3/14/2019,77849,3/14/2019
195,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,75822,3/13/2019
196,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,75822,3/13/2019
197,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,75822,3/13/2019
198,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,39092,3/14/2019
199,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,78226,3/14/2019
200,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,75822,3/19/2019
201,Enterprise Data Services & Operations,Public,554,75822,3/13/2019,39092,3/19/2019
202,Enterprise Data Services & Operations,Public,554,41892,3/12/2019,41892,3/12/2019
203,Enterprise Data Services & Operations,Public,554,78226,3/11/2019,63724,3/11/2019
204,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,78226,3/11/2019
205,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,69037,3/11/2019
206,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,39092,3/11/2019
207,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,39092,3/11/2019
208,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,69037,3/11/2019
209,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,43544,3/11/2019
210,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,39092,3/12/2019
211,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,77849,3/12/2019
212,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,3602,3/12/2019
213,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,11674,3/12/2019
214,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,39092,3/12/2019
215,Enterprise Data Services & Operations,Public,554,69037,3/10/2019,69037,3/13/2019
216,Enterprise Data Services & Operations,Public,554,86283,3/10/2019,86283,3/10/2019
217,Enterprise Data Services & Operations,Public,554,86283,3/9/2019,66059,3/9/2019
218,Enterprise Data Services & Operations,Public,554,86283,3/8/2019,86283,3/8/2019
219,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,87309,3/8/2019
220,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,78226,3/8/2019
221,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,39092,3/8/2019
222,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,95577,3/11/2019
223,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,13107,3/11/2019
224,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,65549,3/11/2019
225,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,39092,3/11/2019
226,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,13107,3/11/2019
227,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,39092,3/12/2019
228,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,40082,3/12/2019
229,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,79144,3/12/2019
230,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,30430,3/12/2019
231,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,95577,3/12/2019
232,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,80911,3/12/2019
233,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,39092,3/12/2019
234,Enterprise Data Services & Operations,Public,554,13107,3/8/2019,95577,3/14/2019
235,Enterprise Data Services & Operations,Public,554,41892,3/7/2019,41892,3/7/2019
236,Enterprise Data Services & Operations,Public,554,86283,3/7/2019,86283,3/7/2019
237,Enterprise Data Services & Operations,Public,554,86283,3/6/2019,86283,3/6/2019
238,Enterprise Data Services & Operations,Public,554,41892,3/5/2019,41892,3/5/2019
239,Enterprise Data Services & Operations,Public,554,33543,3/5/2019,33543,4/5/2019
240,Enterprise Data Services & Operations,Public,554,66713,3/5/2019,86283,3/5/2019
